Date,Apple,Google,Facebook,Amazon,Netflix,Microsoft
07/09/1984,0.42388,,,,,
10/09/1984,0.42388,,,,,
11/09/1984,0.42516,,,,,
12/09/1984,0.42902,,,,,
13/09/1984,0.43927,,,,,
14/09/1984,0.44052,,,,,
17/09/1984,0.45718,,,,,
18/09/1984,0.45718,,,,,
19/09/1984,0.44052,,,,,
20/09/1984,0.43286,,,,,
21/09/1984,0.43286,,,,,
24/09/1984,0.42902,,,,,
25/09/1984,0.42388,,,,,
26/09/1984,0.41618,,,,,
27/09/1984,0.41111,,,,,
28/09/1984,0.41111,,,,,
01/10/1984,0.39956,,,,,
02/10/1984,0.39443,,,,,
03/10/1984,0.40081,,,,,
04/10/1984,0.40593,,,,,
05/10/1984,0.40593,,,,,
08/10/1984,0.39699,,,,,
09/10/1984,0.39699,,,,,
10/10/1984,0.39316,,,,,
11/10/1984,0.38164,,,,,
12/10/1984,0.37906,,,,,
15/10/1984,0.38289,,,,,
16/10/1984,0.38289,,,,,
17/10/1984,0.39699,,,,,
18/10/1984,0.40853,,,,,
19/10/1984,0.40853,,,,,
22/10/1984,0.40853,,,,,
23/10/1984,0.41491,,,,,
24/10/1984,0.41874,,,,,
25/10/1984,0.41874,,,,,
26/10/1984,0.40339,,,,,
29/10/1984,0.39443,,,,,
30/10/1984,0.39956,,,,,
31/10/1984,0.39956,,,,,
01/11/1984,0.39956,,,,,
02/11/1984,0.39956,,,,,
05/11/1984,0.39699,,,,,
06/11/1984,0.41874,,,,,
07/11/1984,0.41874,,,,,
08/11/1984,0.41111,,,,,
09/11/1984,0.39443,,,,,
12/11/1984,0.38419,,,,,
13/11/1984,0.38419,,,,,
14/11/1984,0.37906,,,,,
15/11/1984,0.37906,,,,,
16/11/1984,0.37906,,,,,
19/11/1984,0.37138,,,,,
20/11/1984,0.36112,,,,,
21/11/1984,0.36883,,,,,
23/11/1984,0.37394,,,,,
26/11/1984,0.38289,,,,,
27/11/1984,0.39316,,,,,
28/11/1984,0.41366,,,,,
29/11/1984,0.41366,,,,,
30/11/1984,0.40593,,,,,
03/12/1984,0.39443,,,,,
04/12/1984,0.39699,,,,,
05/12/1984,0.41618,,,,,
06/12/1984,0.43668,,,,,
07/12/1984,0.43668,,,,,
10/12/1984,0.4354,,,,,
11/12/1984,0.42646,,,,,
12/12/1984,0.42134,,,,,
13/12/1984,0.41111,,,,,
14/12/1984,0.41111,,,,,
17/12/1984,0.43157,,,,,
18/12/1984,0.45718,,,,,
19/12/1984,0.45718,,,,,
20/12/1984,0.43927,,,,,
21/12/1984,0.43668,,,,,
24/12/1984,0.43927,,,,,
26/12/1984,0.44052,,,,,
27/12/1984,0.44309,,,,,
28/12/1984,0.44309,,,,,
31/12/1984,0.46487,,,,,
02/01/1985,0.46487,,,,,
03/01/1985,0.45335,,,,,
04/01/1985,0.45335,,,,,
07/01/1985,0.45335,,,,,
08/01/1985,0.45081,,,,,
09/01/1985,0.45845,,,,,
10/01/1985,0.47898,,,,,
11/01/1985,0.47898,,,,,
14/01/1985,0.48791,,,,,
15/01/1985,0.48791,,,,,
16/01/1985,0.48291,,,,,
17/01/1985,0.48291,,,,,
18/01/1985,0.44821,,,,,
21/01/1985,0.46742,,,,,
22/01/1985,0.48027,,,,,
23/01/1985,0.48027,,,,,
24/01/1985,0.47251,,,,,
25/01/1985,0.46357,,,,,
28/01/1985,0.48291,,,,,
29/01/1985,0.48291,,,,,
30/01/1985,0.47763,,,,,
31/01/1985,0.47763,,,,,
01/02/1985,0.46357,,,,,
04/02/1985,0.46742,,,,,
05/02/1985,0.46998,,,,,
06/02/1985,0.47898,,,,,
07/02/1985,0.47898,,,,,
08/02/1985,0.47763,,,,,
11/02/1985,0.48671,,,,,
12/02/1985,0.48671,,,,,
13/02/1985,0.47512,,,,,
14/02/1985,0.45335,,,,,
15/02/1985,0.44052,,,,,
19/02/1985,0.44566,,,,,
20/02/1985,0.44052,,,,,
21/02/1985,0.42902,,,,,
22/02/1985,0.42902,,,,,
25/02/1985,0.44052,,,,,
26/02/1985,0.4354,,,,,
27/02/1985,0.42646,,,,,
28/02/1985,0.40081,,,,,
01/03/1985,0.39443,,,,,
04/03/1985,0.40339,,,,,
05/03/1985,0.41366,,,,,
06/03/1985,0.41366,,,,,
07/03/1985,0.39316,,,,,
08/03/1985,0.35344,,,,,
11/03/1985,0.35473,,,,,
12/03/1985,0.36754,,,,,
13/03/1985,0.36754,,,,,
14/03/1985,0.34702,,,,,
15/03/1985,0.34702,,,,,
18/03/1985,0.36496,,,,,
19/03/1985,0.36496,,,,,
20/03/1985,0.35473,,,,,
21/03/1985,0.36112,,,,,
22/03/1985,0.36112,,,,,
25/03/1985,0.35473,,,,,
26/03/1985,0.35985,,,,,
27/03/1985,0.35985,,,,,
28/03/1985,0.34962,,,,,
29/03/1985,0.34962,,,,,
01/04/1985,0.35344,,,,,
02/04/1985,0.34448,,,,,
03/04/1985,0.33551,,,,,
04/04/1985,0.33551,,,,,
08/04/1985,0.33297,,,,,
09/04/1985,0.31249,,,,,
10/04/1985,0.33551,,,,,
11/04/1985,0.34192,,,,,
12/04/1985,0.34192,,,,,
15/04/1985,0.34192,,,,,
16/04/1985,0.34448,,,,,
17/04/1985,0.36112,,,,,
18/04/1985,0.36496,,,,,
19/04/1985,0.36496,,,,,
22/04/1985,0.35985,,,,,
23/04/1985,0.35344,,,,,
24/04/1985,0.35344,,,,,
25/04/1985,0.35089,,,,,
26/04/1985,0.35089,,,,,
29/04/1985,0.34962,,,,,
30/04/1985,0.33938,,,,,
01/05/1985,0.33938,,,,,
02/05/1985,0.32911,,,,,
