Country Name,Country Code,2019 GDP (USD$),2019 Population,Life Expectancy at Birth
Aruba,ABW,,106314,76.152
Afghanistan,AFG,19291104008,38041754,64.486
Angola,AGO,88815697793,31825295,60.782
Albania,ALB,15279183290,2854191,78.458
Andorra,AND,3154057987,77142,
Arab World,ARB,2.81741E+12,427870270,71.80682516
United Arab Emirates,ARE,4.21142E+11,9770529,77.814
Argentina,ARG,4.45445E+11,44938712,76.52
Armenia,ARM,13672802158,2957731,74.945
American Samoa,ASM,,55312,
Antigua and Barbuda,ATG,1661962963,97118,76.885
Australia,AUS,1.39657E+12,25364307,82.74878049
Austria,AUT,4.45075E+11,8877067,81.69268293
Azerbaijan,AZE,48047647059,10023318,72.864
Burundi,BDI,3012334882,11530580,61.247
Belgium,BEL,5.33097E+11,11484055,81.59512195
Benin,BEN,14390709095,11801151,61.47
Burkina Faso,BFA,15990803570,20321378,61.174
Bangladesh,BGD,3.02571E+11,163046161,72.32
Bulgaria,BGR,68558815112,6975761,74.96341463
Bahrain,BHR,38574069149,1641172,77.163
"Bahamas, The",BHS,13578800000,389482,73.752
Bosnia and Herzegovina,BIH,20164193807,3301000,77.262
Belarus,BLR,63080457023,9466856,74.17560976
Belize,BLZ,1879613600,390353,74.496
Bermuda,BMU,7484113000,63918,81.65170732
Bolivia,BOL,40895322844,11513100,71.239
Brazil,BRA,1.83976E+12,211049527,75.672
Barbados,BRB,5209000000,287025,79.081
Brunei Darussalam,BRN,13469422959,433285,75.722
Bhutan,BTN,2530547158,763092,71.46
Botswana,BWA,18340480936,2303697,69.275
Central African Republic,CAF,2220307369,4745185,52.805
Canada,CAN,1.73643E+12,37589262,81.94878049
Central Europe and the Baltics,CEB,1.66885E+12,102378579,76.97684517
Switzerland,CHE,7.03082E+11,8574832,83.75365854
Channel Islands,CHI,,172259,82.928
Chile,CHL,2.82318E+11,18952038,80.042
China,CHN,1.42799E+13,1397715000,76.704
Cote d'Ivoire,CIV,58539424930,25716544,57.422
Cameroon,CMR,39007354359,25876380,58.921
"Congo, Dem. Rep.",COD,50400746171,86790567,60.368
"Congo, Rep.",COG,12267392147,5380508,64.29
Colombia,COL,3.23616E+11,50339443,77.109
Comoros,COM,1165839927,850886,64.118
Cabo Verde,CPV,1981845740,549935,72.782
Costa Rica,CRI,61801385049,5047561,80.095
Caribbean small states,CSS,77721714918,7401383,73.63710891
Cuba,CUB,,11333483,78.726
Curacao,CUW,3101787709,157538,
Cayman Islands,CYM,,64948,
Cyprus,CYP,24948935408,1198575,80.828
Czech Republic,CZE,2.50681E+11,10669709,79.02926829
Germany,DEU,3.86112E+12,83132799,80.89268293
Djibouti,DJI,3324634256,973560,66.582
Dominica,DMA,582403703.7,71808,
Denmark,DNK,3.50104E+11,5818553,80.95365854
Dominican Republic,DOM,88941299734,10738958,73.892
Algeria,DZA,1.71091E+11,43053054,76.693
East Asia & Pacific (excluding high income),EAP,1.71517E+13,2093675040,75.21051211
Early-demographic dividend,EAR,1.19899E+13,3290290613,70.48319068
East Asia & Pacific,EAS,2.69247E+13,2340628292,76.06833643
